,_fivetran_id,day,follower_gains_organic_follower_gain,follower_gains_paid_follower_gain,organization_entity,_fivetran_synced
37,vuZrneTQuaYpxoP/WtVAC3RLYyw=,2021-12-12 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.626000+00:00
38,P6jtKvQ8aER1jPR6fwJ3lYqKZIs=,2022-03-10 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.812000+00:00
39,vUlhk6fRwwoRO4IrcUzvLDGvjiI=,2022-01-28 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.398000+00:00
40,DL1ijphy0TBTtExY51FuDVr2L0c=,2021-10-18 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.892000+00:00
41,Ts0/AKplAUbWMpahi2Gsm7g7Exs=,2021-09-07 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:19.878000+00:00
42,ERTIHeAxhS251qu/AhaqbthGYCo=,2022-03-30 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.822000+00:00
43,YTC7L5th/gBTfQSD0fP/fPuSf5s=,2022-04-08 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:08.587000+00:00
44,swjoyNFTwiRd7W+ozaApoE4nYpo=,2021-09-22 00:00:00+00:00,1,0,urn:li:organization:11841037,2022-08-08 10:42:19.886000+00:00
45,mTioUFEJa2bC4ouiS1KF/8lhvr0=,2021-11-13 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.069000+00:00
46,20mRxVZfL2w8d6YfykTrvOJwpnk=,2021-09-15 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:26.923000+00:00
47,hSTZ2TWVT2n5Vd1fE9tjrCTkutU=,2022-06-21 00:00:00+00:00,1,0,urn:li:organization:11841037,2022-08-08 10:42:21.905000+00:00
48,/Buf2odbmjTUCTSDiNwUyIY+SEI=,2022-08-01 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:22.093000+00:00
49,uQpHxWL2hq1Z2Pjl1JFLipTbW0Y=,2021-08-30 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:06.860000+00:00
50,l6RvXHml7uDY5Ec91ZILnOFIo58=,2021-12-09 00:00:00+00:00,2,0,urn:li:organization:11841037,2022-08-08 10:42:20.394000+00:00
51,kV8xFk7Y35z6gAYLHDitgFI/CuQ=,2022-02-04 00:00:00+00:00,1,0,urn:li:organization:78306774,2022-08-08 10:42:28.242000+00:00
52,ZdzjsbXgF4oRNf1Kr1tsC/kjEXc=,2022-02-16 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.648000+00:00
53,umlnTf2TwVNw7riwGLUGtwQb0i8=,2021-11-21 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.074000+00:00
54,HmKQmo4PRNREXMEuUoFe1fFoOKQ=,2022-02-19 00:00:00+00:00,1,0,urn:li:organization:11841037,2022-08-08 10:42:20.745000+00:00
55,kzWMC59yMujemmk6ukwO3Qghfqs=,2022-02-03 00:00:00+00:00,6,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.400000+00:00
56,AT7I976VoFfE2NuCnGvhAUuRmqA=,2021-10-07 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.887000+00:00
57,/d6ZSYsELnEH4y1zaxHWPNHW3f0=,2022-03-02 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.652000+00:00
58,7sfOEJ3u1YI7RlgCx0np2Zr3MY0=,2021-12-25 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:27.694000+00:00
59,ZyPLWgxB1dv67WabLZpu5SGpGBM=,2022-07-02 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:21.911000+00:00
60,fqmH/aEqRzm8rhfqSnV0hAyf0Ow=,2022-02-10 00:00:00+00:00,1,0,urn:li:organization:69569872,2022-08-08 10:42:08.221000+00:00
61,Tc//QzejNECZJCUbos+n+FGOyXY=,2022-04-16 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:21.302000+00:00
62,HeL+YDXk73C3JrHGczsCWkd5Urc=,2021-10-13 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:20.048000+00:00
63,7++kmoB48DV6w473GUzj8j9oNH8=,2022-02-26 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:39.651000+00:00
64,wmN91pv1WZZ+p4ZDznFo2oaeZJk=,2021-12-19 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:27.690000+00:00
65,g+DUeLXRNY5jzJ+5s9u46waMrv0=,2022-03-09 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:21.122000+00:00
66,C3aCHroHmq3wsIXPOcym9K91h7s=,2022-05-15 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:09.010000+00:00
67,+XK0+SQUnV8dXsZunuCpFGVcoy0=,2022-07-27 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:29.135000+00:00
68,woL24YjMYJTvk5zC2BxREkPRHBc=,2022-04-28 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:08.608000+00:00
69,LptDWguI2xMujgqlnyW18dySuOo=,2022-01-19 00:00:00+00:00,1,0,urn:li:organization:69569872,2022-08-08 10:42:08.047000+00:00
70,PumIZi2vDB3PiIxE/GvIDA7tsxk=,2021-12-05 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:27.272000+00:00
71,iXHPOVKIYDvSowKQy2ZMLvs63U0=,2021-12-19 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:20.402000+00:00
72,vjIRsaUdhYYgFIq6X2WZG34Veyo=,2022-01-02 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.652000+00:00
73,x8PAG87HNTFLzcUtoEjLy7QKygY=,2021-10-29 00:00:00+00:00,3,0,urn:li:organization:11841037,2022-08-08 10:42:20.060000+00:00
74,4D+m1fkYMzaDD0gWMLPdu2wH24Q=,2021-09-03 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:19.722000+00:00
75,VvkOTmebiCd/Nyd234dI6PG8naU=,2022-06-03 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:28.786000+00:00
76,hhfJfJJaARahJemhwWHg4PMYuKs=,2022-05-28 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:09.021000+00:00
