,_fivetran_id,day,careers_page_promo_links_clicks,careers_page_banner_promo_clicks,careers_page_jobs_clicks,careers_page_employees_clicks,mobile_careers_page_promo_links_clicks,mobile_careers_page_jobs_clicks,mobile_careers_page_employees_clicks,all_desktop_page_views,all_desktop_unique_page_views,all_mobile_page_views,all_mobile_unique_page_views,all_page_views,all_unique_page_views,about_page_views,about_unique_page_views,careers_page_views,careers_unique_page_views,products_page_views,products_unique_page_views,jobs_page_views,jobs_unique_page_views,people_page_views,people_unique_page_views,overview_page_views,overview_unique_page_views,life_at_page_views,life_at_unique_page_views,insights_page_views,insights_unique_page_views,mobile_careers_page_views,mobile_careers_unique_page_views,mobile_overview_page_views,mobile_overview_unique_page_views,mobile_jobs_page_views,mobile_jobs_unique_page_views,mobile_life_at_page_views,mobile_life_at_unique_page_views,mobile_insights_page_views,mobile_insights_unique_page_views,mobile_products_page_views,mobile_products_unique_page_views,mobile_about_page_views,mobile_about_unique_page_views,mobile_people_page_views,mobile_people_unique_page_views,desktop_insights_page_views,desktop_insights_unique_page_views,desktop_careers_page_views,desktop_careers_unique_page_views,desktop_life_at_page_views,desktop_life_at_unique_page_views,desktop_jobs_page_views,desktop_jobs_unique_page_views,desktop_people_page_views,desktop_people_unique_page_views,desktop_about_page_views,desktop_about_unique_page_views,desktop_overview_page_views,desktop_overview_unique_page_views,desktop_products_page_views,desktop_products_unique_page_views,organization_entity,_fivetran_synced
10,s/2ZchkcUQwtPOY1km07DT6agcI=,2021-12-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:69569872,2022-08-08 10:42:45.539000+00:00
11,Ddq7eSjX94+4TfMCsUxUV4Nbq48=,2022-04-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:11841037,2022-08-08 10:42:54.326000+00:00
12,eNgFG/qJUV+9a0qi8QXheGNpN4I=,2021-09-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:li:organizationBrand:69569872,2022-08-08 10:43:02.959000+00:00
13,80zoxUAnqDrdYQQvPUVELpGH0ww=,2022-05-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:74996377,2022-08-08 10:43:01.758000+00:00
14,LnBNe9uvBpGr/Nj/UHJCpFBHyrg=,2022-03-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:69569872,2022-08-08 10:42:46.417000+00:00
15,XRqSIlHhUPpQ6gOSyY8crbGLVHA=,2022-04-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:86734408,2022-08-08 10:42:50.516000+00:00
16,sg1NFxADq0V1SkTWY6eTwSbU9z8=,2021-11-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,2.0,12.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,urn:li:organization:11841037,2022-08-08 10:42:53.083000+00:00
17,2lKO7rYMNRD2WVGWZrTEgvI43mU=,2021-10-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:74996377,2022-08-08 10:42:59.876000+00:00
18,zjIEDobENV2GJ2+kaL8MbiFTK5E=,2022-07-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:86734408,2022-08-08 10:42:51.217000+00:00
19,6UoIoANPcFoA4PueIB6sU14Plis=,2022-03-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:74996377,2022-08-08 10:43:01.233000+00:00
