,_fivetran_id,id,like_count,comment_count,video_photo_impressions,video_photo_reach,video_photo_saved,video_views,carousel_album_engagement,carousel_album_impressions,carousel_album_reach,carousel_album_saved,carousel_album_video_views,story_impressions,story_reach,reel_reach,reel_saved,video_photo_engagement,story_exits,story_replies,story_taps_back,story_taps_forward,reel_comments,reel_likes,reel_plays,reel_shares,reel_total_interactions,_fivetran_synced
164,s9R1ySx/K2trPym8FGdsMTC/wXg=,17894563468402765,0,0,0.0,0.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:18.265000+00:00
165,gQxedmp6LzupwKSbzM55rQhCfJ4=,17848423054789292,2,0,4.0,4.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:18.286000+00:00
166,BX3XgOSek+ikJyGFZJbI9dQj94U=,17853319631401129,2,0,28.0,26.0,1,,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:09.832000+00:00
167,Yh3J15rVlBVIzvOT66BhnKedmGU=,17889511247217705,1,0,26.0,26.0,0,8.0,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.478000+00:00
168,LcBXIgGPlaJaF98+aEkC8lhOtCE=,17994737239277164,0,0,0.0,0.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:18.275000+00:00
169,RCjLHMfePfIa/QS3KxMZBlIoetk=,17917433608593870,3,0,24.0,22.0,0,,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:09.823000+00:00
170,Xir/rEEeR8LmtosCZ75GxBa5CqU=,17907297097997489,2,0,30.0,29.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:04.481000+00:00
171,qcTb50mlZC8gcuLqBEMx3uH866M=,17939382751462083,3,0,29.0,29.0,0,,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:09.835000+00:00
172,ciaTdiYOnmAnnzyLVEd0rFcqYBo=,17997345205262974,2,0,2.0,2.0,0,9.0,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:18.285000+00:00
173,mOwHXRzwcfLNmS/2sfgS3bvKxFw=,17905299377321673,2,0,22.0,21.0,0,8.0,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:04.474000+00:00
174,wFQALSpBkVQoYRicqJdDpBG9bKA=,17853628922496291,2,0,28.0,25.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:09.824000+00:00
175,qwwDmJUi/WQa/KyrzCU97J4y4oc=,18029380021251244,2,0,,,0,0.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,2022-08-08 10:43:13.521000+00:00
176,ogXaSD+Sv02J6xnY4gtZT0A/npI=,17842671359039239,1,0,7.0,7.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:13.518000+00:00
177,G3GODn4PM6Vt6FLZkHk0XIUvths=,18032370439230509,5,0,,,0,0.0,5.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,,,,2022-08-08 10:43:18.280000+00:00
178,mjS5FTmsB4BBOiYxuL1DvyT6WlA=,18001438186247358,1,0,0.0,0.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:18.278000+00:00
179,fm7yvmvMqQOSE/kZ4TevPiwQNFI=,17858212483934330,4,0,,,0,0.0,4.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,2022-08-08 10:43:13.518000+00:00
180,yudHgk3I+5RDjZRfGY2VAvD68FY=,17898483322954455,2,0,23.0,23.0,0,8.0,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:09.794000+00:00
181,ggjpJ2PxlfZx0tRvIgqZ1C35mSk=,17848418137722031,4,0,3.0,3.0,0,,,,,,,,,,,4.0,,,,,,,,,,2022-08-08 10:43:18.293000+00:00
182,GMhQRqFQP3u0HbaK/84BSwKqITE=,17915342389598867,2,0,79.0,77.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:09.840000+00:00
183,pZUIoGo2LBmUsmZoS+HSmuIoFpo=,17970282214370575,2,1,39.0,39.0,0,14.0,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:09.822000+00:00
184,AO5ja+IRdANYQ/erhKgh8v6jBnY=,17859693853619456,2,0,2.0,2.0,0,3.0,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:18.267000+00:00
185,4eSkEXiTYXRmO4gUyrOJzNH5Ezk=,17861257942629734,1,0,0.0,0.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:13.496000+00:00
186,apFvaOAervgs1WvE0GdaKcPPqm4=,17875888663673613,3,0,10.0,8.0,0,,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:13.521000+00:00
187,NiTftLuCoF0TkE8logBY4DebLCI=,17874095884636503,3,0,15.0,13.0,0,,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:13.525000+00:00
188,qheFJAhN/oOkBlD4Hlx3gVoy/yc=,17945130823659149,2,0,53.0,46.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:04.433000+00:00
189,ZL5pRgdINGLmNzc25j5EE0WptP4=,18007565224318477,2,0,24.0,24.0,0,7.0,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:09.801000+00:00
190,mVp8iJbuUT1mfBHAzUeIUQ/yv3Q=,18197738704088622,1,0,23.0,21.0,0,6.0,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.486000+00:00
191,BRGUtGnCQ0gmJX4jCLBFaWVNH28=,17886281861007522,2,0,37.0,37.0,0,11.0,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:09.826000+00:00
192,/1zXT8k+hjSSl2H6m//Itgs/BbA=,18074384872180028,3,0,,,0,0.0,3.0,14.0,14.0,0.0,0.0,,,,,,,,,,,,,,,2022-08-08 10:43:18.273000+00:00
193,wz4kVtpyQ7GwCZTiQHCjKMMR/7s=,18063680548183781,1,0,0.0,0.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:18.272000+00:00
194,+P46Td/Ibs93s8oTUpam2UflomY=,18116142532009315,2,0,10.0,10.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:18.291000+00:00
